location,text,hashtags,tweetcreatedts
"New York, NY","In Rep. Doug Lamborn’s (R., Colo) D.C. office, two staffers have tested positive for Covid-19, and others were told to not disclose potential exposure to roommates, according to a person familiar

More on the spread of the virus at the Capitol complex: https://t.co/VfPTkt5zw2",[],2020-10-07 18:52:58
NEW YORK,"Thirteen employees at a restaurant in Minneapolis are in quarantine after catering a party attended by Trump on September 30.

#TyphoidTrump 

https://t.co/0b7Yh7ripI",[],2020-10-07 18:52:58
"Brooklyn,New York","in 3 years this woman steered NZ through a horrific terrorist attack, showing empathy and compassion; a devastating volcanic eruption; and handled COVID-19 perfectly. she really is absolutely remarkable. 👏 https://t.co/usriPoU8Gr",[],2020-10-07 18:52:56
"New York, USA",People who think COVID-19 is not real https://t.co/SJKAvvSzGW,[],2020-10-07 18:52:55
Western New York,Republican Congressman Refuses COVID-19 Test After Staffers Test Positive https://t.co/jNoM1OAv0a,[],2020-10-07 18:52:47
"Miami, FL",Today would be a good day for @realDonaldTrump to release his COVID-19 test history.,[],2020-10-07 18:52:46
New York Metropolitan Area,"Important thread to read through.

The cure to COVID-19 was much worse than the disease itself.

President @realDonaldTrump and Dr. Scott Atlas understand this.

It's too bad that many of our governors and mayors around the nation still can't comprehend these sad realities. https://t.co/6W5jWBKMwb",[],2020-10-07 18:52:44
"New York, NY",NY Man Charged in Death of 80 Year Old Over Mask Dispute https://t.co/uZJ60gfwnP #MasksSaveLives #COVID19 #CoronaVirusUpdates #pandemic,"[{'text': 'MasksSaveLives', 'indices': [81, 96]}, {'text': 'COVID19', 'indices': [97, 105]}, {'text': 'CoronaVirusUpdates', 'indices': [106, 125]}, {'text': 'pandemic', 'indices': [126, 135]}]",2020-10-07 18:52:44
San Francisco & Los Angeles,Staff member for Gov. Gavin Newsom tests positive for COVID-19 https://t.co/kOY4ZD3aIB,[],2020-10-07 18:52:44
"New York, USA","@USATODAY reporters are working to identify every single person in a photo of the White House Rose Garden event where many were exposed to COVID-19: https://t.co/X17xrHYQd5

Can you help? Get in touch using this form: https://t.co/Q54YZvdCIs https://t.co/5GUR3ZPt86",[],2020-10-07 18:52:39
"Los Angeles, CA","(1/2) Late last night, we were informed that the Jurassic World: Dominion production experienced a small amount of positive tests for COVID-19.  Even though subsequent tests proved negative this morning, due to our rigid protocols and to ensure that the safety &amp; well-being of our https://t.co/6Tjjbvr8vM",[],2020-10-07 18:52:35
"Chicago, IL","Trump has been SYMPTOM-FREE for over 24 hours without a fever for over 4 days.

He’s 74 yrs old...just a reminder that the infection fatality rate and disease course of COVID-19 is not nearly as bad as the mainstream media would have you believe.

https://t.co/L8wIBwy64r",[],2020-10-07 18:52:35
"Los Angeles, USA",Totally Under Control review – shocking film on Trump's failure to handle Covid-19 https://t.co/wjdx6MXZtk,[],2020-10-07 18:52:33
"Chicago, IL",Saliva-based COVID-19 testing is available on campus each week for #UIC students and employees who do not have symptoms of COVID-19. Make an appointment here: https://t.co/tTXOrCaJqf https://t.co/Oef06GmmQ5,"[{'text': 'UIC', 'indices': [82, 86]}]",2020-10-07 18:52:32
"New York, NY","As college campuses across the United States struggle to contain COVID-19 with over 88,000 reported cases, ASU remains ahead of t... @vitalintelligence https://t.co/g0gouX5ozu
#vitalintelligence #healthmonitoring #draganfly #draganflyinc #safesolutions #safeschoolsolution https://t.co/AvReo66zG0",[],2020-10-07 18:52:30
new york city,"We agree with @SpeakerPelosi: the #VPDebate should focus on healthcare, healthcare and healthcare. #MikePence must explain his record on the #Coronavirus task force and why the administration is working overtime to destroy the #AffordableCareAct. https://t.co/pLIayTqZdl","[{'text': 'VPDebate', 'indices': [44, 53]}, {'text': 'MikePence', 'indices': [109, 119]}]",2020-10-07 18:52:29
Los Angeles from Tokyo,"We’re giving out free flu shots this week at several locations across the city.

Find more information or other resources to get a flu shot at https://t.co/qfgcdwMMrr. https://t.co/emlLqVWjf2",[],2020-10-07 18:52:26
New York,"Eli Lilly is seeking emergency authorization use of its experimental Covid-19 antibody therapy after data showed the treatment reduced hospitalizations.

We spoke with CEO Dave Ricks about the treatment https://t.co/wIAoN1PVvZ https://t.co/x0mSyDaM2J",[],2020-10-07 18:52:22
Louisville ✈️ Los Angeles,"in 3 years this woman steered NZ through a horrific terrorist attack, showing empathy and compassion; a devastating volcanic eruption; and handled COVID-19 perfectly. she really is absolutely remarkable. 👏 https://t.co/usriPoU8Gr",[],2020-10-07 18:52:22
"New York, USA","Trevor Noah:

“Turns out while you’ve spent the last 7 months hugging grandma through a giant condom, Trump and friends are having no-mask cocktail receptions indoors where the guest of honor is Covid-19.

“A massive outbreak at the White House is not karma. It’s consequences.”",[],2020-10-07 18:52:20
New York City,"A key line: ""in countries where the Covid-19 pandemic has disrupted access to mental health services, people with mental health conditions may be at greater risk of being shackled."" A related update from @MSF in Liberia: https://t.co/yU9BZLBBTG https://t.co/QEjBjwixWa",[],2020-10-07 18:52:17
"Miami, Florida","I just did a thread on how none of Trump's aides are willing to stand up to him. Now we're told that—while under the influence of COVID-19, experimental drugs, and steroids—he could issue an order that can't be countermanded while not in his right mind. 😳 https://t.co/WqbNuPXv2d",[],2020-10-07 18:52:16
